forenames,surnames,email,password,treatment
Margarita,Playán Ruíz,margaritaplayanruiz@csef.com,password,true
Carlos,Amador Fierros,carlosamadorfierros@csef.com,password,true
Ignacio,González Chávez,ignaciogonzalezchavez@csef.com,password,true
Mirna,Álvarez González,mirnaalvarezgonzalez@csef.com,password,true
María José,Reynoso Garza,mariajosereynosogarza@csef.com,password,true
René,del Rocío Pérez,renedelrocioperez@csef.com,password,true
Arturo,Jimenez Pérez,arturojimenezperez@csef.com,password,true
José María,Magaña Rosas,josemariamaganarosas@csef.com,password,true
Susana,Becerra Sánchez,susanabecerrasanchez@csef.com,password,true
Diana,Rodriguez Vázquez,dianarodriguezvazquez@csef.com,password,true
Alfonso,Soto Chávez,alfonsosotochavez@csef.com,password,true
Sofía,Rodriguez Vázquez,sofiarodriguezvazquez@csef.com,password,true
José María,del Rocío Pérez,josemariadelrocioperez@csef.com,password,true
Susana,Soto Chávez,susanasotochavez@csef.com,password,true
Ana Paula,Ríos Ochoa,anapaulariosochoa@csef.com,password,true
Michelle,Ochoa González,michelleochoagonzalez@csef.com,password,true
Mirna,González Amador,mirnagonzalezamador@csef.com,password,true
Tonatiuh,Ríos Ochoa,tonatiuhriosochoa@csef.com,password,true
Marisol,Amador Fierros,marisolamadorfierros@csef.com,password,true
Aranzazú,Díaz Ante,aranzazudiazante@csef.com,password,true
Adriana,Villarreal Luis,adrianavillarrealluis@csef.com,password,true
Margarita,Ríos Ochoa,margaritariosochoa@csef.com,password,true
Ana Paula,Becerra Sánchez,anapaulabecerrasanchez@csef.com,password,true
Miroslava,Cárdenas López,miroslavacardenaslopez@csef.com,password,true
Sofía,Ríos Ochoa,sofiariosochoa@csef.com,password,true
María Guadalupe,Jimenez Pérez,mariaguadalupejimenezperez@csef.com,password,true
Carlos,González Amador,carlosgonzalezamador@csef.com,password,true
Marisol,Llerenas Ortega,marisolllerenasortega@csef.com,password,true
Mirna,del Rocío Pérez,mirnadelrocioperez@csef.com,password,true
Carla,Ríos Ochoa,carlariosochoa@csef.com,password,true
Adriana,Playán Ruíz,adrianaplayanruiz@csef.com,password,true
Miroslava,Pérez Reverte,miroslavaperezreverte@csef.com,password,true
Ignacio,Junquera González,ignaciojunqueragonzalez@csef.com,password,true
Tonatiuh,Magaña Rosas,tonatiuhmaganarosas@csef.com,password,true
Juana,Pérez Reverte,juanaperezreverte@csef.com,password,true
Ana Paula,Amador Fierros,anapaulaamadorfierros@csef.com,password,true
Margarita,Torres Fierros,margaritatorresfierros@csef.com,password,true
Miroslava,Martínez Amaya,miroslavamartinezamaya@csef.com,password,true
María José,Preciado Vaca,mariajosepreciadovaca@csef.com,password,true
Genoveva,Carrillo Hinojosa,genovevacarrillohinojosa@csef.com,password,true
Ignacio,Villarreal Luis,ignaciovillarrealluis@csef.com,password,true
Pedro,Rodriguez Vázquez,pedrorodriguezvazquez@csef.com,password,true
Diana,Playán Ruíz,dianaplayanruiz@csef.com,password,true
José María,Marrufo Ventura,josemariamarrufoventura@csef.com,password,true
Marisol,Jimenez Pérez,marisoljimenezperez@csef.com,password,true
María José,Carrillo Hinojosa,mariajosecarrillohinojosa@csef.com,password,true
Pedro,Marrufo Ventura,pedromarrufoventura@csef.com,password,true
Arturo,Díaz Ante,arturodiazante@csef.com,password,true
Carla,Carrillo Hinojosa,carlacarrillohinojosa@csef.com,password,true
María José,Jimenez Pérez,mariajosejimenezperez@csef.com,password,false
César,Jimenez Pérez,cesarjimenezperez@csef.com,password,false
Susana,Venegas Ceballos,susanavenegasceballos@csef.com,password,false
Aranzazú,Marrufo Ventura,aranzazumarrufoventura@csef.com,password,false
Juan Pablo,Cabrera Ventura,juanpablocabreraventura@csef.com,password,false
Miroslava,Magaña Rosas,miroslavamaganarosas@csef.com,password,false
Juana,Rodriguez Vázquez,juanarodriguezvazquez@csef.com,password,false
Alfonso,Amador Fierros,alfonsoamadorfierros@csef.com,password,false
Adriana,Michel Sánchez,adrianamichelsanchez@csef.com,password,false
Sofía,Michel Sánchez,sofiamichelsanchez@csef.com,password,false
Pedro Alfonso,Soto Chávez,pedroalfonsosotochavez@csef.com,password,false
Marisol,Carrillo Hinojosa,marisolcarrillohinojosa@csef.com,password,false
Susana,González Chávez,susanagonzalezchavez@csef.com,password,false
Carla,Pérez Reverte,carlaperezreverte@csef.com,password,false
María Guadalupe,Álvarez González,mariaguadalupealvarezgonzalez@csef.com,password,false
René,Álvarez González,renealvarezgonzalez@csef.com,password,false
Carlos,Cabrera Ventura,carloscabreraventura@csef.com,password,false
Tonatiuh,Michel Sánchez,tonatiuhmichelsanchez@csef.com,password,false
Juan Pablo,Reynoso Garza,juanpabloreynosogarza@csef.com,password,false
Juan Pablo,Marrufo Ventura,juanpablomarrufoventura@csef.com,password,false
Alfonso,Michel Sánchez,alfonsomichelsanchez@csef.com,password,false
René,Playán Ruíz,reneplayanruiz@csef.com,password,false
Susana,González Amador,susanagonzalezamador@csef.com,password,false
Alfonso,Ochoa González,alfonsoochoagonzalez@csef.com,password,false
Mirna,Michel Sánchez,mirnamichelsanchez@csef.com,password,false
César,Marrufo Ventura,cesarmarrufoventura@csef.com,password,false
Adriana,Ríos Ochoa,adrianariosochoa@csef.com,password,false
Juan Pablo,Preciado Vaca,juanpablopreciadovaca@csef.com,password,false
Ana Paula,Junquera González,anapaulajunqueragonzalez@csef.com,password,false
Arturo,Pérez Reverte,arturoperezreverte@csef.com,password,false
Mirna,Venegas Ceballos,mirnavenegasceballos@csef.com,password,false
Genoveva,Michel Sánchez,genovevamichelsanchez@csef.com,password,false
Carlos,Playán Ruíz,carlosplayanruiz@csef.com,password,false
César,Rodriguez Vázquez,cesarrodriguezvazquez@csef.com,password,false
Sofía,Amador Fierros,sofiaamadorfierros@csef.com,password,false
Diana,Ríos Preciado,dianariospreciado@csef.com,password,false
Pablo,Magaña Rosas,pablomaganarosas@csef.com,password,false
José María,Díaz Ante,josemariadiazante@csef.com,password,false
Pablo,González Amador,pablogonzalezamador@csef.com,password,false
Arturo,Ochoa González,arturoochoagonzalez@csef.com,password,false
César,Preciado Vaca,cesarpreciadovaca@csef.com,password,false
René,Cárdenas López,renecardenaslopez@csef.com,password,false
María Guadalupe,Amador Fierros,mariaguadalupeamadorfierros@csef.com,password,false
Juana,Ochoa González,juanaochoagonzalez@csef.com,password,false
Susana,Junquera González,susanajunqueragonzalez@csef.com,password,false
María Guadalupe,Villarreal Luis,mariaguadalupevillarrealluis@csef.com,password,false
Alfonso,Ríos Preciado,alfonsoriospreciado@csef.com,password,false
Alfonso,Pérez Reverte,alfonsoperezreverte@csef.com,password,false
Mirna,Cárdenas López,mirnacardenaslopez@csef.com,password,false
Mirna,Ríos Ochoa,mirnariosochoa@csef.com,password,false
Alfonso,Martínez Amaya,alfonsomartinezamaya@csef.com,password,false
Margarita,Marrufo Ventura,margaritamarrufoventura@csef.com,password,true
Pedro Alfonso,Preciado Vaca,pedroalfonsopreciadovaca@csef.com,password,true
Carlos,Llerenas Ortega,carlosllerenasortega@csef.com,password,true
Pedro,Venegas Ceballos,pedrovenegasceballos@csef.com,password,true
Marisol,Martínez Amaya,marisolmartinezamaya@csef.com,password,true
Carla,Michel Sánchez,carlamichelsanchez@csef.com,password,true
Ignacio,del Rocío Pérez,ignaciodelrocioperez@csef.com,password,true
Tonatiuh,Marrufo Ventura,tonatiuhmarrufoventura@csef.com,password,true
Marisol,Playán Ruíz,marisolplayanruiz@csef.com,password,true
María Guadalupe,Becerra Sánchez,mariaguadalupebecerrasanchez@csef.com,password,true
Carlos,Rodriguez Vázquez,carlosrodriguezvazquez@csef.com,password,true
José María,Reynoso Garza,josemariareynosogarza@csef.com,password,true
Sofía,Magaña Rosas,sofiamaganarosas@csef.com,password,true
Carlos,Magaña Rosas,carlosmaganarosas@csef.com,password,true
Aranzazú,Torres Fierros,aranzazutorresfierros@csef.com,password,true
Alfonso,Villarreal Luis,alfonsovillarrealluis@csef.com,password,true
Miroslava,Llerenas Ortega,miroslavallerenasortega@csef.com,password,true
Adriana,González Amador,adrianagonzalezamador@csef.com,password,true
Genoveva,Llerenas Ortega,genovevallerenasortega@csef.com,password,true
Carlos,Pérez Reverte,carlosperezreverte@csef.com,password,true
Margarita,Ríos Preciado,margaritariospreciado@csef.com,password,true
Carlos,Martínez Amaya,carlosmartinezamaya@csef.com,password,true
Arturo,Amador Fierros,arturoamadorfierros@csef.com,password,true
René,Carrillo Hinojosa,renecarrillohinojosa@csef.com,password,true
Margarita,Michel Sánchez,margaritamichelsanchez@csef.com,password,true
Aranzazú,Jimenez Pérez,aranzazujimenezperez@csef.com,password,true
José María,Villarreal Luis,josemariavillarrealluis@csef.com,password,true
Pablo,Villarreal Luis,pablovillarrealluis@csef.com,password,true
Carla,Villarreal Luis,carlavillarrealluis@csef.com,password,true
Miroslava,Ríos Ochoa,miroslavariosochoa@csef.com,password,true
Susana,Ruíz Arias,susanaruizarias@csef.com,password,true
Margarita,Jimenez Pérez,margaritajimenezperez@csef.com,password,true
Tonatiuh,Pérez Reverte,tonatiuhperezreverte@csef.com,password,true
María José,Becerra Sánchez,mariajosebecerrasanchez@csef.com,password,true
Carlos,Álvarez González,carlosalvarezgonzalez@csef.com,password,true
Mirna,Martínez Amaya,mirnamartinezamaya@csef.com,password,true
Juana,Jimenez Pérez,juanajimenezperez@csef.com,password,true
Ana Paula,González Chávez,anapaulagonzalezchavez@csef.com,password,true
Sofía,Reynoso Garza,sofiareynosogarza@csef.com,password,true
Mirna,Torres Fierros,mirnatorresfierros@csef.com,password,true
Adriana,González Chávez,adrianagonzalezchavez@csef.com,password,true
Carla,González Chávez,carlagonzalezchavez@csef.com,password,true
Miroslava,Michel Sánchez,miroslavamichelsanchez@csef.com,password,true
Juana,Ríos Ochoa,juanariosochoa@csef.com,password,true
Ignacio,Álvarez González,ignacioalvarezgonzalez@csef.com,password,true
Sofía,Llerenas Ortega,sofiallerenasortega@csef.com,password,true
Mirna,Becerra Sánchez,mirnabecerrasanchez@csef.com,password,true
José María,Carrillo Hinojosa,josemariacarrillohinojosa@csef.com,password,true
Pedro,Soto Chávez,pedrosotochavez@csef.com,password,true
Carlos,Soto Chávez,carlossotochavez@csef.com,password,false
Genoveva,Marrufo Ventura,genovevamarrufoventura@csef.com,password,false
Carlos,Junquera González,carlosjunqueragonzalez@csef.com,password,false
Arturo,González Amador,arturogonzalezamador@csef.com,password,false
Lina,Villarreal Luis,linavillarrealluis@csef.com,password,false
Carla,Torres Fierros,carlatorresfierros@csef.com,password,false
Margarita,Álvarez González,margaritaalvarezgonzalez@csef.com,password,false
Juan Pablo,Rodriguez Vázquez,juanpablorodriguezvazquez@csef.com,password,false
Miroslava,Playán Ruíz,miroslavaplayanruiz@csef.com,password,false
María José,Michel Sánchez,mariajosemichelsanchez@csef.com,password,false
Marisol,Villarreal Luis,marisolvillarrealluis@csef.com,password,false
